id,project_id,ownername,reponame,merged_or_not,lifetime_minutes,mergetime_minutes,num_commits,src_churn,test_churn,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,num_commit_comments,num_issue_comments,num_comments,num_participants,sloc,team_size,perc_external_contribs,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,prev_pullreqs,requester_succ_rate,followers,churn_addition,churn_deletion,pr_comment_num,comment_num,perc_neg_emotion,perc_pos_emotion,perc_neu_emotion,part_num_issue,part_num_commit,part_num_pr,part_num_code,comment_conflict,hash_tag,at_tag,test_inclusion,description_length,bug_fix,ci_exists,ci_latency,ci_build_num,ci_test_passed,ci_failed_perc,ci_first_build_status,ci_last_build_status,language,fork_num,project_age,open_issue_num,pr_succ_rate,open_pr_num,first_response_time,pushed_delta,acc_commit_num,first_pr,account_creation_days,core_member,contrib_gender,contrib_country,contrib_affiliation,contrib_open,contrib_cons,contrib_extra,contrib_agree,contrib_neur,perc_contrib_neg_emo,perc_contrib_pos_emo,perc_contrib_neu_emo,contrib_first_emo,prior_review_num,inte_country,inte_affiliation,inte_open,inte_cons,inte_extra,inte_agree,inte_neur,perc_inte_neg_emo,perc_inte_pos_emo,perc_inte_neu_emo,inte_first_emo,contrib_follow_integrator,prior_interaction,social_strength,same_country,same_affiliation,open_diff,cons_diff,extra_diff,agree_diff,neur_diff,has_comments,has_participants,has_exchange,contrib_comment,inte_comment,reviewer_comment,other_comment,num_comments_con,num_code_comments,num_code_comments_con,integrator_availability,friday_effect,contrib_rate_author,reopen_or_not,first_close_minutes,reopen_num
889129,1142,saltstack,salt,1,27557,27557,2,73,0,0,0,3,3,3,0,0,0,8,8,3,353768,30,0.186288,97,306.151,16.9104,36.3862,10136,27,0.962963,67,50,23,0,8,0,0.25,0.75,3,0,0,0,0,0,1,0,200,"",1,"","","","","","",Python,4745,92,6032,0.974838,569,3208,631,73,0,2280,1,male,united states,cpan,0.810129,0.594156,0.449439,0.642388,0.513418,0,0.5,0.5,neutral,6932,united states,saltstack,0.80965,0.698966,0.504096,0.755121,0.50255,0,0.333333,0.666667,neutral,0,75,0.0433071,1,0,0.000479541,0.104809,0.0546569,0.112733,0.0108673,1,1,1,1,1,1,0,2,0,0,0,0,0.000709613,0,27557,0
890540,1334,rails,rails,1,665,665,2,8,0,0,0,3,3,3,0,0,0,1,3,3,69846,68,0.087232,32,690.315,53.902,162.163,40343,113,0.99115,210,4,4,2,3,"","","",1,0,2,2,0,0,1,0,55,"",0,"","","","","","",Ruby,15907,113,942,0.933543,996,0,3419,89,0,689,1,"",japan,"",0.812249,0.659309,0.51444,0.742879,0.501143,0,1,0,positive,665,denmark,"",0.801955,0.629848,0.475906,0.675781,0.475391,1,0,0,negative,1,132,0.010219,0,"",0.0102932,0.0294607,0.0385349,0.0670975,0.0257523,1,1,1,1,1,1,0,1,2,1,577,0,0.00118943,0,665,0
890854,252,rstudio,rstudio,1,31148,31148,1,17,0,0,0,3,3,1,0,2,0,1,1,1,221833,7,0.00932401,19,14.2552,0,2.03518,2607,393,0.992366,9,1,16,0,1,0,0,1,1,0,0,0,0,0,0,0,73,"",0,"","","","","","",Java,677,98,1066,0.985797,35,2395,10076,1638,0,1507,1,male,united states,rstudio,0.810577,0.602933,0.463333,0.634563,0.542395,0,0,0,"",1056,united states,rstudio,0.815452,0.634651,0.468271,0.655631,0.477012,0,0,1,neutral,0,94,0.25,1,1,0.00487483,0.0317186,0.00493788,0.0210678,0.0653835,1,1,0,0,1,1,0,0,0,0,4,0,0.0747501,0,31148,0
895800,847,puppetlabs,puppet,1,53011,53011,3,38,97,0,0,5,5,5,0,0,0,5,14,5,117394,37,0.021519,0,580.164,56.6092,96.6959,5988,87,0.977012,20,121,14,9,14,0.214286,0.142857,0.642857,3,0,3,3,0,0,1,1,9,"",1,439,7,0,0.285714,success,success,Ruby,2259,98,0,0.971409,183,690,100409,230,0,2025,1,female,united states,puppet,0.804815,0.655401,0.471306,0.677748,0.479702,0.166667,0.333333,0.5,positive,863,united states,puppetlabs,0.800057,0.616456,0.460409,0.611459,0.488757,0,0,1,neutral,0,117,0.0723684,1,0,0.00475869,0.0389444,0.0108967,0.0662893,0.00905483,1,1,1,1,1,1,1,6,9,4,100,0,0.00745374,0,53011,0
898635,418,sunpy,sunpy,1,209,209,44,1493,0,2,2,41,45,44,0,0,0,1,19,3,15333,14,0.0722291,0,414.592,37.416,99.8015,440,107,0.88785,32,572,921,18,19,"","","",1,0,2,2,0,0,0,0,193,"",1,25,127,1,0,success,success,Python,372,93,219,0.963867,62,53,18768,1026,0,2964,1,male,united states,"",0.826758,0.647165,0.474171,0.663531,0.441818,0,0.5,0.5,positive,1139,united kingdom,"",0.81698,0.639126,0.460278,0.648413,0.501085,0.0714286,0.0714286,0.857143,neutral,0,82,0.193548,0,"",0.00977846,0.0080393,0.013894,0.0151171,0.0592671,1,1,1,1,1,1,1,4,18,4,20,1,0.0721468,0,209,0
898817,19621554,mozilla,pontoon,1,3258,3258,4,817,90,2,0,6,8,8,0,0,0,2,9,2,14189,7,0.0529412,14,414.935,14.5555,50.7999,460,153,0.986928,34,444,463,7,9,0.111111,0.333333,0.555556,1,0,2,2,0,0,1,1,39,"",1,451,5,0,0.2,success,success,Python,189,94,4,0.991855,13,1827,182574,300,0,1580,1,male,poland,"",0.801147,0.612393,0.463674,0.688424,0.516542,0.333333,0.666667,0,negative,837,slovenia,mozilla,0.820978,0.640873,0.476654,0.651827,0.493132,0,0.166667,0.833333,positive,1,36,0.25,0,"",0.0198309,0.0284801,0.0129797,0.0365972,0.0234101,1,1,1,1,1,1,0,3,7,1,85,0,0.0908815,0,3258,0
900759,90825,miekg,dns,1,987,987,5,16,37,0,0,3,3,3,0,0,0,2,5,3,275374,4,0.0862069,49,244.342,0,15.3835,3077,79,0.924051,45,49,4,3,5,"","","",2,0,2,2,0,0,1,1,283,"",1,"","","","","","",Go,560,99,37,0.97012,16,5,3221,213,0,3147,1,male,australia,"",0.780304,0.627807,0.443285,0.662578,0.420816,0,0,1,neutral,425,united kingdom,"",0.795673,0.611389,0.472381,0.638599,0.490312,0,0.5,0.5,neutral,1,322,0.222222,0,"",0.0153692,0.0164176,0.0290957,0.023979,0.0694964,1,1,1,1,1,1,1,2,3,2,4,0,0.0816092,0,987,0
905640,847,puppetlabs,puppet,1,164,164,2,2248,1184,0,26,5,31,26,1,4,0,5,5,2,115570,28,0.0242915,4,579.357,56.7433,96.7475,5752,40,1,89,0,3432,0,5,0,0,1,2,0,0,0,0,0,0,0,17,"",1,360,2,1,0,success,success,Ruby,2168,92,0,0.970851,191,107,294894,85,0,3628,1,male,united states,"",0.814671,0.597053,0.447587,0.628104,0.471036,0,0,1,neutral,737,united states,puppetlabs,0.800057,0.616456,0.460409,0.611459,0.488757,0,0,1,neutral,0,45,0.0484429,1,"",0.0146146,0.0194033,0.0128228,0.0166454,0.017721,1,1,1,1,1,1,0,2,0,0,95,0,0.00289984,0,164,0
907673,1334,rails,rails,1,35,35,2,82,54,1,0,3,4,4,0,0,0,2,8,4,65868,57,0.108108,13,690.956,54.8338,162.798,36105,426,0.978873,508,134,2,6,8,"","","",2,0,3,3,0,1,0,0,37,"",1,1326,1,1,0,success,success,Ruby,14135,103,848,0.933665,914,0,27298,610,0,3105,1,"",japan,"",0.810294,0.627716,0.472563,0.639982,0.468908,0,0,1,neutral,621,united states,"",0.821254,0.61879,0.475172,0.661098,0.533879,0.25,0,0.75,negative,0,114,0.0140515,0,"",0.0109595,0.00892556,0.00260969,0.0211159,0.0649709,1,1,1,1,1,1,0,2,6,2,92,0,0.00885752,0,35,0
908011,847,puppetlabs,puppet,1,317,317,5,80,8,0,0,39,39,7,31,0,0,2,5,3,108327,20,0.107273,58,576.636,56.0788,95.7705,6098,104,0.971154,20,55,33,3,5,0,0.2,0.8,2,0,2,2,0,0,1,1,10,"",1,1052,3,0,0.666667,failure,success,Ruby,2305,102,0,0.969813,188,15,631,275,0,2143,1,female,united states,puppet,0.804815,0.655401,0.471306,0.677748,0.479702,0,0.333333,0.666667,neutral,906,united states,puppetlabs,0.800057,0.616456,0.460409,0.611459,0.488757,0,0,1,neutral,0,104,0.0681818,1,0,0.00475869,0.0389444,0.0108967,0.0662893,0.00905483,1,1,1,1,1,1,1,3,3,2,1,0,0.00872296,0,317,0
